TPC-C loaded - consumed space in GiB = 0.227018
Warehouse pages = 1
Error opening counter cycle
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 39  | 2347       | 85.6412- | 25.3736- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 72045    |
| 40  | 2277       | 85.7268- | 25.8547- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 77920    |
| 41  | 2291       | 85.9013- | 25.0817- | 0        | 3.0      | 0.2      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 79318    |
| 42  | 2181       | 82.1182- | 26.0176- | 0        | 3.1      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 91019    |
| 43  | 2439       | 83.8868- | 24.3251- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 69242    |
| 44  | 2232       | 85.3046- | 25.3261- | 0        | 3.1      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 84400    |
| 45  | 2415       | 83.7681- | 24.2471- | 0        | 3.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 70934    |
| 46  | 2327       | 83.2402- | 24.1030- | 0        | 3.3      | 0.4      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 78228    |
| 47  | 2342       | 83.9026- | 23.5639- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 70946    |
| 48  | 2193       | 86.4569- | 26.9730- | 0        | 3.1      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 69014    |
