t,c_hash,key,GHz,CPU,IPC,br-miss,L1-miss,instr,cycle-kernel,task,LLC-miss,cycle
0,12887458230040279342,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8,12887458230040279342,pp_0,2.4,1.0,1.7,23806.0,41825.0,4090346386.0,2614360.0,1026894886.0,2447.0,2454459378.0
8,12887458230040279342,group_committer,2.1,0.8,3.0,502853.9,6224926.8,5420553051.6,276930290.6,864784827.0,301201.4,1797743593.3
8,12887458230040279342,worker_0,2.2,0.4,1.5,1147463.0,1379753.0,1312509353.0,3969931.0,390078715.0,1358196.0,854922990.0
9,12887458230040279342,pp_3,2.4,1.0,1.7,37264.0,50550.0,4073898217.0,2903392.0,1025666379.0,2371.0,2447674297.0
9,12887458230040279342,pp_2,2.4,1.0,1.7,23602.0,61850.0,4077172829.0,2833730.0,1025676148.0,2162.0,2447704408.0
9,12887458230040279342,pp_1,2.4,1.0,1.7,23844.0,49629.0,4083203931.0,2817884.0,1025676261.0,2091.0,2450060341.0
9,12887458230040279342,pp_0,2.4,1.0,1.7,24021.0,43766.0,4077645708.0,2864586.0,1025625591.0,2614.0,2449905679.0
9,12887458230040279342,group_committer,2.1,0.8,3.1,474061.0,6417528.1,5448571110.6,271401395.0,850401480.0,271191.0,1780026853.5
9,12887458230040279342,worker_0,2.2,0.4,1.5,1113624.0,1414888.0,1327771828.0,3270724.0,393404903.0,1329251.0,862446684.0
10,12887458230040279342,pp_3,2.4,1.0,1.7,37387.0,52775.0,4085232496.0,2960836.0,1025420875.0,2187.0,2453465114.0
10,12887458230040279342,pp_2,2.4,1.0,1.7,23824.0,64361.0,4085449179.0,2845679.0,1025434876.0,1890.0,2453505055.0
10,12887458230040279342,pp_1,2.4,1.0,1.7,24118.0,51206.0,4080451258.0,2859321.0,1025438984.0,1746.0,2449217701.0
10,12887458230040279342,pp_0,2.4,1.0,1.7,24457.0,45300.0,4079603170.0,2998026.0,1025377134.0,2278.0,2449061072.0
10,12887458230040279342,group_committer,2.1,0.8,3.0,503792.7,6626747.0,5387265361.9,284470548.2,852896023.0,298531.4,1784497778.2
10,12887458230040279342,worker_0,2.2,0.4,1.5,1153698.0,1332396.0,1326468281.0,4357460.0,389120317.0,1248724.0,857943945.0
11,12887458230040279342,pp_3,2.5,1.0,1.7,38471.0,49272.0,4211911277.0,2729833.0,1025222593.0,2192.0,2532012953.0
11,12887458230040279342,pp_2,2.5,1.0,1.7,24234.0,58828.0,4218534149.0,2583296.0,1025223469.0,2324.0,2532034678.0
11,12887458230040279342,pp_1,2.5,1.0,2.4,34268.0,58401.0,6047600400.0,2514130.0,1025215014.0,2654.0,2517191775.0
11,12887458230040279342,pp_0,2.5,0.5,1.7,12736.0,26227.0,2056015470.0,1525112.0,504422044.0,1116.0,1235958201.0
11,12887458230040279342,group_committer,2.2,0.8,3.0,591014.3,7328869.8,5641874477.3,303766337.0,858016748.0,313261.8,1876606909.4
11,12887458230040279342,worker_0,2.3,0.4,1.5,1191731.0,1325110.0,1322248733.0,3720407.0,383986814.0,1317953.0,879077299.0
12,12887458230040279342,pp_3,2.5,1.0,1.7,39298.0,52573.0,4236151782.0,2894109.0,1023754318.0,3171.0,2544556786.0
12,12887458230040279342,pp_2,2.5,1.0,1.7,24507.0,63773.0,4235563460.0,2802069.0,1023764664.0,2775.0,2544588893.0
12,12887458230040279342,pp_1,2.5,1.0,1.9,27385.0,53129.0,4728220436.0,2728123.0,1023773834.0,2680.0,2549911643.0
12,12887458230040279342,pp_0,2.5,0.9,1.7,22351.0,40696.0,3695695415.0,2591502.0,890041800.0,2540.0,2218121601.0
12,12887458230040279342,group_committer,2.2,0.8,2.9,626317.6,7190205.1,5550390517.6,333039151.5,868561963.0,316565.2,1888302486.3
12,12887458230040279342,worker_0,2.3,0.4,1.5,1158025.0,1589609.0,1298225087.0,8532257.0,390470213.0,1425029.0,894302708.0
13,12887458230040279342,pp_3,2.5,1.0,1.7,39288.0,52934.0,4240604302.0,2934744.0,1023757553.0,2337.0,2549376157.0
