Loading TPC-C
TPC-C loaded - consumed space in GiB = 1.01213
Warehouse pages = 1
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 59  | 65776      | 95.7598- | 11.9311- | 0        | 0.0      | 0.0      | 207361.- | 125595.- | 7.520639 | 1100.20- | 998.416- | 8.633645 | 0.1      | 0.1      | 6.2      | 11       |
| 60  | 65064      | 95.6734- | 11.8708- | 0        | 0.0      | 0.0      | 198879.- | 124199.- | 7.638675 | 1095.58- | 980.035- | 8.306335 | 0.1      | 0.1      | 6.3      | 15       |
| 61  | 75733      | 95.8036- | 11.9823- | 0        | 0.0      | 0.0      | 206581.- | 114406.- | 7.831821 | 1021.46- | 887.227- | 8.667539 | 0.2      | 0.2      | 6.4      | 22       |
| 62  | 91228      | 95.6515- | 11.8510- | 0        | 0.0      | 0.0      | 209405.- | 112962.- | 7.938569 | 1007.72- | 809.517- | 10.2341- | 0.2      | 0.2      | 6.5      | 28       |
| 63  | 99065      | 95.7290- | 11.8819- | 0        | 0.0      | 0.0      | 221188.- | 113022.- | 7.958208 | 1022.87- | 860.088- | 11.0949- | 0.2      | 0.2      | 6.6      | 26       |
| 64  | 43548      | 95.6002- | 11.9067- | 0        | 0.0      | 0.0      | 1046044- | 261785.- | 7.967502 | 1336.23- | 1162.05- | 11.3046- | 0.1      | 0.1      | 6.7      | 3        |
| 65  | 52253      | 95.7590- | 11.8256- | 0        | 0.0      | 0.0      | 867184.- | 234968.- | 7.971672 | 985.036- | 790.817- | 12.1912- | 0.1      | 0.1      | 6.8      | 2        |
| 66  | 65603      | 95.8629- | 11.7741- | 0        | 0.0      | 0.0      | 582462.- | 184926.- | 7.953961 | 1078.81- | 973.292- | 12.0597- | 0.1      | 0.2      | 6.8      | 4        |
| 67  | 92285      | 95.9354- | 11.8576- | 0        | 0.0      | 0.0      | 206888.- | 117115.- | 7.926408 | 1025.87- | 843.849- | 10.7667- | 0.2      | 0.2      | 6.9      | 11       |
| 68  | 77269      | 95.8314- | 12.0153- | 0        | 0.0      | 0.0      | 203374.- | 122685.- | 7.762553 | 1067.83- | 932.128- | 9.625440 | 0.2      | 0.2      | 7.0      | 14       |
| 69  | 75213      | 95.8132- | 11.9007- | 0        | 0.0      | 0.0      | 204127.- | 116456.- | 7.860855 | 1051.86- | 911.244- | 8.729030 | 0.2      | 0.2      | 7.1      | 14       |
| 70  | 67094      | 95.6374- | 11.9686- | 0        | 0.0      | 0.0      | 206945.- | 127402.- | 7.677828 | 1127.77- | 1015.58- | 8.732004 | 0.1      | 0.2      | 7.2      | 24       |
| 71  | 64511      | 95.6131- | 11.8316- | 0        | 0.0      | 0.0      | 330334.- | 142649.- | 7.811232 | 1004.56- | 887.171- | 9.220435 | 0.1      | 0.1      | 7.3      | 10       |
| 72  | 56146      | 95.5580- | 12.0203- | 0        | 0.0      | 0.0      | 286458.- | 147166.- | 7.236464 | 1082.77- | 1001.69- | 8.940181 | 0.1      | 0.1      | 7.4      | 17       |
| 73  | 60012      | 95.4209- | 11.8274- | 0        | 0.0      | 0.0      | 197357.- | 122492.- | 7.069534 | 1060.90- | 999.191- | 7.949510 | 0.1      | 0.1      | 7.4      | 18       |
| 74  | 59932      | 95.6817- | 11.9100- | 0        | 0.0      | 0.0      | 197886.- | 123962.- | 7.348388 | 1101.09- | 1016.24- | 7.926350 | 0.1      | 0.1      | 7.5      | 15       |
| 75  | 59154      | 95.6013- | 11.9732- | 0        | 0.0      | 0.0      | 197931.- | 126256.- | 7.371995 | 1093.95- | 1026.26- | 7.926836 | 0.1      | 0.1      | 7.6      | 20       |
| 76  | 65202      | 95.8452- | 11.9546- | 0        | 0.0      | 0.0      | 200153.- | 120270.- | 7.647489 | 1064.02- | 980.842- | 8.029367 | 0.1      | 0.1      | 7.7      | 13       |
| 77  | 82230      | 96.0938- | 11.9385- | 0        | 0.0      | 0.0      | 203037.- | 113452.- | 7.936639 | 1010.66- | 848.370- | 9.234360 | 0.2      | 0.2      | 7.8      | 12       |
| 78  | 83441      | 95.7371- | 12.1729- | 0        | 0.0      | 0.0      | 307582.- | 124231.- | 7.964778 | 968.022- | 807.622- | 10.2329- | 0.2      | 0.1      | 7.9      | 11       |
| 79  | 57854      | 95.8136- | 12.0118- | 0        | 0.0      | 0.0      | 660213.- | 210318.- | 7.958519 | 1231.75- | 1007.01- | 12.0829- | 0.1      | 0.2      | 7.9      | 5        |
| 80  | 94033      | 95.8248- | 11.8195- | 0        | 0.0      | 0.0      | 211936.- | 113423.- | 7.957143 | 1017.90- | 857.854- | 10.5912- | 0.2      | 0.2      | 8.0      | 14       |
| 81  | 71257      | 95.8951- | 11.7855- | 0        | 0.0      | 0.0      | 396222.- | 134142.- | 7.970020 | 852.738- | 709.122- | 9.457498 | 0.1      | 0.1      | 8.1      | 3        |
