t,c_hash,key,GHz,CPU,IPC,br-miss,L1-miss,instr,cycle-kernel,task,LLC-miss,cycle
0,14632805865187260016,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_5,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_5,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3,5737676506079966301,worker_0,1.2,1.0,1.5,5687891.0,10045607.5,1868639978.6,14490551.5,1006589957.0,7046223.7,1218262467.7
4,5737676506079966301,pp_3,1.3,1.0,1.8,71179.0,184756.0,2348657149.0,3388826.0,1018337939.0,12904.0,1320920854.0
4,5737676506079966301,pp_2,1.3,1.0,1.7,52588.0,180834.0,2259009257.0,3497004.0,1018355164.0,18388.0,1320943208.0
4,5737676506079966301,pp_1,1.3,1.0,1.7,44739.0,173538.0,2263120879.0,3355285.0,1018335962.0,12688.0,1320958805.0
4,5737676506079966301,pp_0,1.3,1.0,1.7,44803.0,174346.0,2267815569.0,3394657.0,1018324839.0,12861.0,1320938154.0
4,5737676506079966301,group_committer,1.2,0.4,1.4,760503.5,8026536.7,677563074.2,495826222.1,404209398.0,8404992.8,498740930.6
4,5737676506079966301,worker_7,1.3,1.0,1.9,6811104.6,11138742.3,2386362509.6,16417365.2,1006728903.0,9968583.2,1267995465.9
4,5737676506079966301,worker_6,1.3,1.0,1.5,5886580.1,10402350.3,1943741447.1,16081814.4,1005808007.0,7709417.6,1268216225.4
4,5737676506079966301,worker_5,1.2,1.0,2.1,7147550.9,11677247.4,2525907674.1,20960228.3,1002256320.0,10030773.7,1231628511.4
4,5737676506079966301,worker_4,1.3,1.0,1.5,6195050.2,11228879.4,1950771419.6,21477555.9,1004999929.0,7657328.3,1259793772.9
4,5737676506079966301,worker_3,1.3,1.0,1.8,6736782.1,11248413.6,2334149901.2,20553022.5,1006861780.0,9287008.4,1265217546.1
4,5737676506079966301,worker_2,1.2,1.0,1.9,7046805.7,11328653.4,2412324284.0,23497553.2,1003556491.0,10111353.5,1252781092.0
4,5737676506079966301,worker_1,1.3,1.0,1.8,6719497.2,11329852.1,2331683522.9,15704839.9,1003322554.0,9606258.0,1275386989.3
4,5737676506079966301,worker_0,1.2,1.0,1.9,6950345.4,11221279.5,2366200909.6,25946735.4,1000762436.0,9964416.4,1245248010.3
5,5737676506079966301,pp_3,1.3,1.0,1.8,48225.0,179201.0,2341304461.0,3169659.0,1014405306.0,12142.0,1315828853.0
5,5737676506079966301,pp_2,1.3,1.0,1.7,80627.0,176585.0,2248316235.0,3329964.0,1014405109.0,17187.0,1315835286.0
5,5737676506079966301,pp_1,1.3,1.0,1.7,44529.0,167439.0,2254701430.0,3185620.0,1014406335.0,12148.0,1315872887.0
5,5737676506079966301,pp_0,1.3,1.0,1.7,44636.0,166079.0,2259492983.0,3201939.0,1014347931.0,11582.0,1315792488.0
5,5737676506079966301,group_committer,1.2,0.4,1.4,748018.9,7388705.3,600767315.8,438730276.6,381889157.0,8067285.9,441450886.2
5,5737676506079966301,worker_7,1.2,1.0,1.6,5947720.9,10135358.2,1962879724.6,16875676.1,998464436.0,8021059.8,1191017624.2
5,5737676506079966301,worker_6,1.2,1.0,1.5,5492183.9,9832631.4,1788366149.6,21119927.6,999838685.0,7297637.4,1192200465.5
5,5737676506079966301,worker_5,1.2,1.0,1.6,5754611.4,10235025.9,1842204902.9,24941044.7,993443199.0,7463455.3,1183334655.1
5,5737676506079966301,worker_4,1.2,1.0,1.6,5800873.7,10072995.7,1888387694.1,17693269.7,995907485.0,7742579.5,1187942099.1
5,5737676506079966301,worker_3,1.2,1.0,1.6,5687619.1,9962480.2,1884673776.0,16890941.2,998255606.0,7623399.8,1190109238.9
5,5737676506079966301,worker_2,1.2,1.0,1.6,5773534.1,9927961.6,1902230167.9,15557377.6,1000954322.0,7821657.6,1193929747.1
5,5737676506079966301,worker_1,1.2,1.0,1.8,6224728.5,10552732.0,2118120681.2,22672500.0,1000108246.0,8835669.3,1192986045.6
5,5737676506079966301,worker_0,1.2,1.0,1.7,6207917.7,10372219.0,2074103965.7,19254093.5,997337500.0,8842934.7,1188713882.8
6,5737676506079966301,pp_3,1.3,1.0,1.8,44500.0,178665.0,2341866390.0,3226098.0,1014495943.0,12774.0,1315945563.0
6,5737676506079966301,pp_2,1.3,1.0,1.7,81080.0,177586.0,2248453336.0,3317112.0,1014504315.0,16892.0,1315962482.0
6,5737676506079966301,pp_1,1.3,1.0,1.7,44227.0,167958.0,2256185819.0,3206188.0,1014493534.0,12459.0,1315991248.0
6,5737676506079966301,pp_0,1.3,1.0,1.7,44494.0,166878.0,2261227565.0,3240574.0,1014489383.0,12146.0,1315989490.0
6,5737676506079966301,group_committer,1.2,0.4,1.4,809491.8,7810604.7,652788644.9,450660191.6,387717987.0,8979164.5,452897096.4
6,5737676506079966301,worker_7,1.2,1.0,1.5,5995211.0,10283497.9,1908631847.4,21717538.5,999673602.0,8264588.8,1238547139.7
6,5737676506079966301,worker_6,1.2,1.0,1.7,6093788.1,10301827.9,2088473002.0,18615677.6,1001664289.0,8774872.7,1206927540.3
6,5737676506079966301,worker_5,1.2,1.0,1.5,5821484.8,10384216.1,1886726451.5,19905461.0,998086383.0,7726032.8,1222409136.7
6,5737676506079966301,worker_4,1.2,1.0,1.7,6249612.1,10596670.5,2105062384.6,19741530.5,997237478.0,8889416.8,1231981593.9
6,5737676506079966301,worker_3,1.2,1.0,1.6,5871398.4,10175131.1,1938319250.5,14762600.4,999561059.0,8214756.6,1215474707.6
6,5737676506079966301,worker_2,1.2,1.0,1.5,5715675.8,9959342.9,1879024068.7,21388154.1,1000439915.0,7756474.0,1215306523.1
6,5737676506079966301,worker_1,1.3,1.0,1.6,6255144.1,10705093.9,1999661718.2,16597579.7,998047097.0,8303085.9,1262351635.0
6,5737676506079966301,worker_0,1.2,1.0,1.5,5645773.4,9948846.1,1844891768.1,16043804.5,999555927.0,7547937.0,1222756730.3
7,5737676506079966301,pp_3,1.3,1.0,1.8,46294.0,182904.0,2427237668.0,3227188.0,1015222127.0,12745.0,1363574339.0
7,5737676506079966301,pp_2,1.3,1.0,1.7,78768.0,180686.0,2330537256.0,3350461.0,1015258202.0,17774.0,1363619008.0
7,5737676506079966301,pp_1,1.3,1.0,1.7,45941.0,171409.0,2337923547.0,3201202.0,1015277640.0,12757.0,1363642767.0
7,5737676506079966301,pp_0,1.3,1.0,1.7,46231.0,171103.0,2342330554.0,3247227.0,1015173312.0,12679.0,1363474349.0
7,5737676506079966301,group_committer,1.2,0.4,1.4,801291.2,9021380.5,775777154.5,532673272.8,432315749.0,9768396.0,536121000.1
7,5737676506079966301,worker_7,1.3,1.0,1.5,5967797.6,10575652.7,1967398097.1,16171353.9,999554760.0,8097937.2,1289600503.3
7,5737676506079966301,worker_6,1.3,1.0,1.6,6340547.4,10853996.0,2084144683.3,22966136.0,999707751.0,8916085.8,1278689671.0
7,5737676506079966301,worker_5,1.3,1.0,1.8,6798902.5,11564643.2,2298628837.9,17714390.8,1000166137.0,9496692.8,1286508363.8
7,5737676506079966301,worker_4,1.3,1.0,1.5,5947790.8,10629367.2,1968921436.0,16271267.0,1003766462.0,8015238.8,1289999737.4
7,5737676506079966301,worker_3,1.3,1.0,1.6,6316012.8,10934208.4,2053870680.4,26870423.7,998883256.0,8628622.2,1277474984.5
7,5737676506079966301,worker_2,1.3,1.0,1.8,6725144.0,11107582.1,2235943890.7,20411364.2,1000119212.0,9897161.5,1257502339.1
7,5737676506079966301,worker_1,1.3,1.0,1.6,6108631.0,10877337.4,2044274694.7,19178218.4,1003258773.0,8185402.2,1297505397.0
7,5737676506079966301,worker_0,1.3,1.0,1.7,6464922.1,11053523.5,2179556547.2,16336543.2,1003781331.0,9222911.4,1297490617.0
8,5737676506079966301,pp_3,1.3,1.0,1.8,45761.0,154102.0,2271284044.0,3678710.0,1015844504.0,18543.0,1276036084.0
8,5737676506079966301,pp_2,1.3,1.0,1.7,69361.0,150852.0,2180669839.0,3991785.0,1015872339.0,26017.0,1276055911.0
8,5737676506079966301,pp_1,1.3,1.0,1.7,43066.0,142741.0,2186484285.0,3637190.0,1015851730.0,19445.0,1276033814.0
8,5737676506079966301,pp_0,1.3,1.0,1.7,42990.0,143079.0,2190580388.0,3646071.0,1015839352.0,18809.0,1276026631.0
8,5737676506079966301,group_committer,1.1,0.4,1.2,748535.0,6627480.8,544044162.8,434886188.6,395632925.0,6997704.6,436914311.2
8,5737676506079966301,worker_7,1.2,0.9,1.7,5812401.3,9800674.3,1960984716.6,20228693.3,952734100.0,8850382.1,1122282248.6
8,5737676506079966301,worker_6,1.2,1.0,1.6,5690400.6,9721850.0,1837831582.4,23149553.7,971075462.0,8424306.3,1140675010.4
8,5737676506079966301,worker_5,1.2,0.9,1.5,5384242.6,9481480.2,1772575774.3,14803882.9,964940925.0,7800978.6,1143959176.9
